datetime,temp,hum,energy
2021-04-04 20:39:15,26,59,25.88
2021-04-04 20:39:30,26,59,138.82
2021-04-04 20:39:35,26,59,2.23
2021-04-04 20:39:40,26,59,190.5
2021-04-04 20:39:45,26,59,126.38
2021-04-04 20:40:00,26,59,291.23
2021-04-04 20:40:05,26,59,78.38
2021-04-04 20:40:10,26,59,257.12
2021-04-04 20:40:15,26,59,174.4
2021-04-04 20:40:20,26,59,212.2
2021-04-04 20:40:31,26,59,95.46
2021-04-04 20:40:35,26,59,193.19
2021-04-04 20:40:40,26,59,257.56
2021-04-04 20:40:45,26,59,200.67
2021-04-04 20:40:50,26,59,132.94
2021-04-04 20:41:00,26,59,233.24
2021-04-04 20:41:10,26,59,30.62
2021-04-04 20:41:16,26,59,89.87
2021-04-04 20:41:20,26,59,285.22
2021-04-04 20:41:30,26,59,284.32
2021-04-04 20:41:35,26,59,263.83
2021-04-04 20:41:40,26,59,210.26
2021-04-04 20:41:45,26,59,112.8
2021-04-04 20:41:51,26,59,184.04
2021-04-04 20:42:05,26,59,131.91
2021-04-04 20:42:11,26,59,82.37
2021-04-04 20:42:16,26,60,56.04
2021-04-04 20:42:21,26,60,151.85
2021-04-04 20:42:35,26,60,187.09
2021-04-04 20:42:41,26,59,18.39
2021-04-04 20:42:45,26,59,165.14
2021-04-04 20:42:50,26,59,169.19
2021-04-04 20:43:05,26,59,179.86
2021-04-04 20:43:10,26,59,82.9
2021-04-04 20:43:15,26,59,102.71
2021-04-04 20:43:20,26,59,222.09
2021-04-04 20:43:35,26,59,112.92
2021-04-04 20:43:40,26,59,167.9
2021-04-04 20:43:45,26,59,141.79
2021-04-04 20:43:50,26,59,291.41
2021-04-04 20:43:55,26,59,190.24
2021-04-04 20:44:05,26,59,111.9
2021-04-04 20:44:10,26,59,101.99
2021-04-04 20:44:15,26,59,0.8
2021-04-04 20:44:20,26,59,220.23
2021-04-04 20:44:25,26,59,177.14
2021-04-04 20:44:35,26,59,263.13
2021-04-04 20:44:40,26,59,92.08
2021-04-04 20:44:45,26,59,3.97
2021-04-04 20:44:50,26,59,299.7
2021-04-04 20:44:56,26,59,160.38
2021-04-04 20:45:06,26,59,278.62
2021-04-04 20:45:10,26,59,0.89
2021-04-04 20:45:15,26,59,135.27
2021-04-04 20:45:20,26,59,217.92
2021-04-04 20:45:26,26,59,91.36
2021-04-04 20:45:40,26,59,97.69
2021-04-04 20:45:45,26,59,36.48
2021-04-04 20:45:50,26,59,275.06
2021-04-04 20:45:55,26,59,264.28
2021-04-04 20:46:10,26,58,158.63
2021-04-04 20:46:16,26,58,287.68
2021-04-04 20:46:20,26,58,72.91
2021-04-04 20:46:25,26,58,121.99
2021-04-04 20:46:45,26,58,29.71
2021-04-04 20:46:50,26,58,207.42
2021-04-04 20:46:56,26,58,258.79
2021-04-04 20:47:11,26,58,290.69
2021-04-04 20:47:16,26,58,30.33
2021-04-04 20:47:21,26,58,127.63
2021-04-04 20:47:25,26,58,269.88
2021-04-04 20:47:30,26,58,279.76
2021-04-04 20:47:41,26,58,274.24
2021-04-04 20:47:45,26,58,115.28
2021-04-04 20:47:50,26,58,237.54
2021-04-04 20:47:55,26,58,27.49
2021-04-04 20:48:00,26,58,98.65
2021-04-04 20:48:10,26,58,276.07
2021-04-04 20:48:15,26,58,184.28
2021-04-04 20:48:20,26,58,61.85
2021-04-04 20:48:25,26,58,32.41
2021-04-04 20:48:30,26,58,80.82
2021-04-04 20:48:40,26,57,156.07
2021-04-04 20:48:46,26,57,177.41
2021-04-04 20:48:50,26,57,65.92
2021-04-04 20:48:55,26,57,187.64
2021-04-04 20:49:00,26,57,295.43
2021-04-04 20:49:15,26,57,246.19
2021-04-04 20:49:20,26,57,244.43
2021-04-04 20:49:25,26,57,88.64
2021-04-04 20:49:31,26,57,155.67
2021-04-05 16:08:05,25,53,207
2021-04-05 16:08:10,24,53,151.63
2021-04-05 16:08:20,25,52,166.44
2021-04-05 16:08:25,25,52,113.53
2021-04-05 16:08:30,25,52,77.32
2021-04-05 16:08:35,25,52,62.21
2021-04-05 16:08:40,25,52,187.88
2021-04-05 16:08:50,25,52,253.16
2021-04-05 16:08:55,25,52,20.63
2021-04-05 16:09:00,25,52,122.97
2021-04-05 16:09:05,25,52,264
2021-04-05 16:09:10,25,52,95.84
2021-04-05 16:09:20,25,52,25.5
2021-04-05 16:09:25,25,52,272.29
2021-04-05 16:09:35,25,52,276.59
2021-04-05 16:09:40,25,52,152.27
2021-04-05 16:09:55,25,52,207.72
2021-04-05 16:10:05,25,52,108.57
2021-04-05 16:10:10,25,52,9.6
2021-04-05 16:10:25,25,52,263.12
2021-04-05 16:10:30,25,52,134.78
2021-04-05 16:10:35,25,52,129.66
2021-04-05 16:10:40,25,52,181.88
2021-04-05 20:26:53,25,63,77.32
2021-04-05 20:26:58,25,64,62.21
2021-04-05 20:27:05,25,64,187.88
2021-04-05 20:27:08,25,64,102.04
2021-04-05 20:27:23,25,64,122.97
2021-04-05 20:27:28,25,64,264
2021-04-05 20:27:33,25,64,95.84
2021-04-05 20:27:38,25,64,294.17
2021-04-05 20:27:53,25,64,30.75
2021-04-05 20:27:58,25,64,276.59
