datetime,temp,hum,energy
2021-05-22T15:27:36,88.05,66.73,69.72
2021-05-22T15:27:42,65.96,13.78,10.25
2021-05-22T15:27:47,16.96,15.54,72.31
2021-05-22T15:27:52,42.71,21.68,178.63
2021-05-22T15:27:57,65.9,60.11,55.1
2021-05-22T15:28:02,59.6,58.53,147.27
2021-05-22T15:28:07,31.4,72.67,108.71
2021-05-22T15:28:12,4.13,58.63,103.17
2021-05-22T15:28:17,27.73,92.16,259.55
2021-05-22T15:28:22,74.73,12.12,124.61
2021-05-22T15:28:27,62.13,97.85,227.94
2021-05-22T15:28:32,57.24,84.25,85.73
2021-05-22T15:28:37,98.67,4.89,59.99
2021-05-22T15:28:42,96.77,26.69,208.28
2021-05-22T15:28:47,92.97,97.48,138.26
2021-05-22T15:28:52,38.24,57.8,217.59
2021-05-22T15:28:57,66.33,80.56,14.26
2021-05-22T15:29:02,3.99,83.28,64.99
2021-05-22T15:29:07,40.01,0.25,181.95
2021-05-22T15:29:12,68.98,1.95,35.9
2021-05-22T15:29:17,46.9,59.33,42.04
2021-05-22T15:29:22,24.2,10.08,17.99
2021-05-22T15:29:27,54.62,32.05,216.77
2021-05-22T15:29:32,65.54,3.22,179.78
2021-05-22T15:29:37,99.82,75.36,35.87
2021-05-22T15:29:42,91.17,93.62,197.31
2021-05-22T15:29:47,85.61,77.18,177.84
2021-05-22T15:29:52,10.31,48.18,131.78
2021-05-22T15:29:57,49.47,96.93,19.98
2021-05-22T15:30:02,74.44,84.75,79.71
2021-05-22T15:30:07,59.85,69.52,177.81
2021-05-22T15:30:12,57.89,43.23,37.3
2021-05-22T15:30:17,79.63,13.99,94.18
2021-05-22T15:30:22,26.97,62.63,136.96
2021-05-22T15:30:27,42.1,5.64,213.03
2021-05-22T15:30:32,88.54,67.84,270.44
2021-05-22T15:30:37,77.58,45.87,202.6
2021-05-22T15:30:42,29.64,100.0,159.46
2021-05-22T15:30:47,15.64,21.25,229.76
2021-05-22T15:30:52,63.16,83.94,146.26
2021-05-22T15:30:57,29.59,14.54,45.84
2021-05-22T15:31:02,96.55,57.23,180.0
2021-05-22T15:31:07,3.11,89.04,95.0
2021-05-22T15:31:12,70.95,60.26,129.15
2021-05-22T15:31:17,50.55,50.07,72.76
2021-05-22T15:31:22,55.38,74.9,53.81
2021-05-22T15:31:27,60.03,91.81,285.88
2021-05-22T15:31:32,56.74,36.12,167.8
2021-05-22T15:31:37,17.49,22.85,267.84
2021-05-22T15:31:42,29.84,7.43,184.16
2021-05-22T15:31:47,56.87,63.37,271.84
2021-05-22T15:31:52,70.85,32.41,215.98
2021-05-22T15:31:57,47.33,69.29,59.32
2021-05-22T15:32:02,80.81,79.69,71.65
2021-05-22T15:32:07,69.4,2.13,136.03
2021-05-22T15:32:12,15.82,57.98,114.76
2021-05-22T15:32:17,46.44,49.06,175.23
2021-05-22T15:32:22,77.29,77.24,112.63
2021-05-22T15:32:27,35.43,38.18,189.85
2021-05-22T15:32:32,18.26,7.51,193.31
2021-05-22T15:32:37,54.64,52.51,219.01
2021-05-22T15:32:42,66.82,57.52,224.48
2021-05-22T15:32:47,79.62,22.7,65.22
2021-05-22T15:32:52,21.33,54.39,5.99
2021-05-22T15:32:57,68.41,16.65,284.96
2021-05-22T15:33:02,71.5,9.24,225.94
2021-05-22T15:33:07,65.78,50.57,274.47
2021-05-22T15:33:12,1.62,22.86,274.37
2021-05-22T15:33:17,30.58,39.35,170.0
2021-05-22T15:33:22,87.44,42.68,143.16
2021-05-22T15:33:27,16.03,22.7,14.13
2021-05-22T15:33:32,21.31,77.01,245.06
2021-05-22T15:33:37,28.27,73.41,252.7
2021-05-22T15:33:42,21.15,63.88,104.34
2021-05-22T15:33:47,17.43,34.05,216.88
2021-05-22T15:33:52,46.35,65.55,195.89
2021-05-22T15:33:57,92.94,30.74,149.37
2021-05-22T15:34:02,64.72,28.64,19.25
2021-05-22T15:34:07,29.23,63.51,259.27
2021-05-22T15:34:12,94.8,1.74,288.08
2021-05-22T15:34:17,19.25,31.78,227.64
2021-05-22T15:34:22,81.4,63.7,231.2
2021-05-22T15:34:27,72.12,24.53,212.44
2021-05-22T15:34:32,81.25,46.16,266.12
2021-05-22T15:34:37,83.38,20.84,85.02
2021-05-22T15:34:42,50.0,60.65,28.11
2021-05-22T15:34:47,96.9,34.74,214.04
2021-05-22T15:34:52,65.08,69.09,208.12
2021-05-22T15:34:57,77.66,88.82,141.5
2021-05-22T15:35:02,90.02,61.42,216.45
2021-05-22T15:35:07,34.01,35.18,78.01
2021-05-22T15:35:12,63.5,39.06,212.99
2021-05-22T15:35:18,38.7,84.9,2.91
2021-05-22T15:35:23,67.43,72.25,212.63
2021-05-22T15:35:28,36.46,4.49,223.38
2021-05-22T15:35:33,52.13,8.13,10.97
2021-05-22T15:35:38,85.01,98.76,201.22
2021-05-22T15:35:43,39.21,7.2,294.84
2021-05-22T15:35:48,33.82,16.26,164.35
2021-05-22T15:35:53,6.73,70.25,292.17
2021-05-22T15:35:58,95.27,45.82,200.67
2021-05-22T15:36:03,67.25,29.28,78.34
2021-05-22T15:36:08,88.44,54.73,40.68
2021-05-22T15:36:13,46.31,92.65,159.68
2021-05-22T15:36:18,76.5,84.63,225.57

