datetime,temp,hum,energy
2021-05-21T23:36:16.796732,81.26,8.84,274.18
2021-05-21T23:36:21.816643,10.32,60.72,204.23
2021-05-21T23:36:26.825697,29.25,4.46,138.69
2021-05-21T23:36:31.859418,24.34,29.01,252.04
2021-05-21T23:36:36.879564,25.92,12.91,132.67
2021-05-21T23:36:41.896109,64.16,98.02,120.06
2021-05-21T23:36:46.911422,92.52,85.38,19.16
2021-05-21T23:36:51.918891,72.67,62.36,142.05
2021-05-21T23:36:56.932114,28.3,6.62,84.11
2021-05-21T23:37:01.961548,36.64,21.9,121.93
2021-05-21T23:37:06.965862,65.83,65.05,47.55
2021-05-21T23:37:11.986096,1.33,37.72,119.28
2021-05-21T23:37:17.049049,17.37,89.32,90.85
2021-05-21T23:37:22.024959,17.25,57.58,143.37
2021-05-21T23:37:27.015831,68.43,34.1,247.83
2021-05-21T23:37:32.056658,96.78,74.77,98.96
2021-05-21T23:37:37.132138,88.4,1.34,162.7
2021-05-21T23:37:42.162685,9.65,48.96,194.04
